date,expiration,strike,bid,ask,vol,delta,gamma,theta,vega,rho,mid,tau_days,tau_years,S,r,DF,PV_div,F,n_pairs_atm,alpha_hat,alpha_used,C_eur,moneyness_F,lower_bound,upper_bound,upper_from_put,C_eur_pre,P_A
2020-03-04,2020-04-01,283.0,30.84,31.35,0.3991,0.8103,0.0077,-0.1295,0.2297,0.1696,31.095,28,0.07671232876712329,312.8599853515625,0.0123,0.999056883370475,1.4052421199509544,311.7487586701471,3,0.0,0.0,31.095,0.9077822834234109,28.721645237767067,31.095,31.92664523776707,31.095,3.205
2020-03-04,2020-04-01,291.0,23.95,24.38,0.3631,0.7526,0.01,-0.1429,0.2691,0.1611,24.165,28,0.07671232876712329,312.8599853515625,0.0123,0.999056883370475,1.4052421199509544,311.7487586701471,3,0.0,0.0,24.165,0.9334439734141787,20.729190170803268,24.165,25.134190170803265,24.165,4.404999999999999
2020-03-04,2020-04-01,300.0,16.71,16.95,0.3214,0.6631,0.0131,-0.1516,0.3122,0.1454,16.83,28,0.07671232876712329,312.8599853515625,0.0123,0.999056883370475,1.4052421199509544,311.7487586701471,3,0.0,0.0,16.83,0.9623133746537925,11.737678220468991,16.83,17.96267822046899,16.83,6.225
2020-03-04,2020-04-01,307.0,11.53,11.71,0.2878,0.5688,0.0157,-0.1496,0.3369,0.1269,11.620000000000001,28,0.07671232876712329,312.8599853515625,0.0123,0.999056883370475,1.4052421199509544,311.7487586701471,3,0.0,0.0,11.620000000000001,0.9847673533957143,4.744280036875667,11.620000000000001,12.859280036875665,11.620000000000001,8.114999999999998
2020-03-04,2020-04-01,313.0,7.64,7.8,0.2599,0.4669,0.0177,-0.1392,0.3414,0.1055,7.72,28,0.07671232876712329,312.8599853515625,0.0123,0.999056883370475,1.4052421199509544,311.7487586701471,3,0.0,0.0,7.72,1.0040136208887902,0.0,7.72,8.999938736652815,7.72,10.25
2020-03-04,2020-04-01,319.0,4.44,4.59,0.2327,0.3468,0.0183,-0.1177,0.3174,0.0793,4.515000000000001,28,0.07671232876712329,312.8599853515625,0.0123,0.999056883370475,1.4052421199509544,311.7487586701471,3,0.0,0.0,4.515000000000001,1.023259888381866,0.0,4.515000000000001,5.840597436429967,4.515000000000001,13.085
2020-03-04,2020-04-01,325.0,2.18,2.31,0.2093,0.2221,0.0165,-0.0867,0.2562,0.0513,2.245,28,0.07671232876712329,312.8599853515625,0.0123,0.999056883370475,1.4052421199509544,311.7487586701471,3,0.0,0.0,2.245,1.042506155874942,0.0,2.245,3.6112561362071176,2.245,16.85
2020-03-04,2020-04-01,335.0,0.55,0.61,0.1916,0.0792,0.0089,-0.0403,0.127,0.0184,0.5800000000000001,28,0.07671232876712329,312.8599853515625,0.0123,0.999056883370475,1.4052421199509544,311.7487586701471,3,0.0,0.0,0.5800000000000001,1.0745832683634016,0.0,0.5800000000000001,1.9806873025023677,0.5800000000000001,25.21
2020-03-04,2020-04-01,345.0,0.16,0.18,0.1952,0.0269,0.0037,-0.0176,0.0536,0.0063,0.16999999999999998,28,0.07671232876712329,312.8599853515625,0.0123,0.999056883370475,1.4052421199509544,311.7487586701471,3,0.0,0.0,0.16999999999999998,1.1066603808518614,0.0,0.16999999999999998,1.6001184687976178,0.16999999999999998,34.82
2020-03-04,2020-04-01,360.0,0.02,0.04,0.2649,0.0236,0.0024,-0.0217,0.0479,0.0055,0.03,28,0.07671232876712329,312.8599853515625,0.0123,0.999056883370475,1.4052421199509544,311.7487586701471,3,0.0,0.0,0.03,1.154776049584551,0.0,0.03,1.4842652182404876,0.03,49.69
2020-03-04,2020-04-17,266.0,47.04,47.65,0.4142,0.8696,0.0046,-0.0802,0.2223,0.2693,47.345,44,0.12054794520547946,312.8599853515625,0.0123,0.9985183589894168,1.4052421199509544,311.916892090827,3,0.0,0.0,47.345,0.8527912618549159,45.8488597404267,47.345,48.358859740426695,47.345,2.51
2020-03-04,2020-04-17,282.0,32.86,33.29,0.3598,0.7931,0.0072,-0.1022,0.3035,0.2578,33.075,44,0.12054794520547946,312.8599853515625,0.0123,0.9985183589894168,1.4052421199509544,311.916892090827,3,0.0,0.0,33.075,0.9040869768537079,29.872565996596027,33.075,34.307565996596026,33.075,4.4350000000000005
2020-03-04,2020-04-17,291.0,25.4,25.73,0.3305,0.7289,0.0092,-0.1129,0.3537,0.2428,25.564999999999998,44,0.12054794520547946,312.8599853515625,0.0123,0.9985183589894168,1.4052421199509544,311.916892090827,3,0.0,0.0,25.564999999999998,0.9329408165405283,20.88590076569128,25.564999999999998,26.875900765691277,25.564999999999998,5.99
2020-03-04,2020-04-17,300.0,18.39,18.58,0.2985,0.6455,0.0114,-0.1178,0.3988,0.22,18.485,44,0.12054794520547946,312.8599853515625,0.0123,0.9985183589894168,1.4052421199509544,311.916892090827,3,0.0,0.0,18.485,0.9617946562273488,11.899235534786527,18.485,19.88923553478653,18.485,7.99
2020-03-04,2020-04-17,307.0,13.39,13.54,0.2734,0.5626,0.0132,-0.1164,0.4233,0.1949,13.465,44,0.12054794520547946,312.8599853515625,0.0123,0.9985183589894168,1.4052421199509544,311.916892090827,3,0.0,0.0,13.465,0.9842365315393202,4.90960702186061,13.465,14.894607021860608,13.465,9.985
2020-03-04,2020-04-17,313.0,9.54,9.68,0.2515,0.4775,0.0146,-0.1098,0.4286,0.1676,9.61,44,0.12054794520547946,312.8599853515625,0.0123,0.9985183589894168,1.4052421199509544,311.916892090827,3,0.0,0.0,9.61,1.0034724246638673,0.0,9.61,11.048496867924108,9.61,12.129999999999999
